Maithili,English
हम अहाँ सँ भेटय चाहैत छी।,I want to meet you.
ओ पुस्तक पढ़ि रहल अछि।,He is reading a book.
आजु बहुत गरमी अछि।,It is very hot today.
अहाँ कतय जाय रहल छी?,Where are you going?
ओ जल्दी सुति गेल।,He slept early.
हम अहाँ क' संग जयब।,I will go with you.
हम स्कूल जा रहल छी।,I am going to school.
ओ भोजन बना रहल अछि।,He is cooking food.
कालि हम बजार गेल रही।,Yesterday I went to the market.
अहाँ कतेक बेर कहय छियै?,How many times have I told you?
हम अहाँ के सहयोग करब।,I will support you.
ओ बहुत सुन्दर चित्र बना रहल अछि।,He is drawing a beautiful picture.
हमरा टिभी देखय के इच्छा अछि।,I want to watch TV.
ओ बस पकड़य चाहैत अछि।,He wants to catch the bus.
अहाँ कतय रहैत छी?,Where do you live?
ओ हमर मित्र छी।,He is my friend.
हम किताब पढ़ि रहल छी।,I am reading a book.
हमरा अहाँ सँ किछु पूछय छल।,I wanted to ask you something.
ओ संगीत सुनि रहल अछि।,He is listening to music.
ओ खेल रहल अछि।,He is playing.
हम अहाँ सँ प्रेम करैत छी।,I love you.
ओ बहुत तेज दौड़ैत अछि।,He runs very fast.
ओ नया गीत गाबय चाहैत अछि।,He wants to sing a new song.
हमरा संग चलू।,Come with me.
ओ आइ स्कूल नहि गेल।,He did not go to school today.
ओ पढ़ाइ में तेज अछि।,He is good at studying.
हमरा भूख लागि रहल अछि।,I am feeling hungry.
ओ बस पकड़ि चुकल अछि।,He has already caught the bus.
हम अहाँ के धन्यवाद दैत छी।,I thank you.
हमरा नींद लागि रहल अछि।,I am feeling sleepy.
ओ अपना परिवार संग रहैत अछि।,He lives with his family.
हम अहाँ कतेक समय सँ बुझैत छी।,I have known you for a long time.
ओ अपन काज पूरा क' लेलक।,He completed his work.
अहाँ कतय जायत छी?,Where will you go?
ओ काज करय में व्यस्त अछि।,He is busy working.
हम अहाँ क' विश्वास करैत छी।,I trust you.
हम स्कूल स' अबि रहल छी।,I am coming from school.
हम अहाँ स' किछु पूछय चाहैत छी।,I want to ask you something.
ओ हमर संग खेलय चाहैत अछि।,He wants to play with me.
ओ बहुत फुर्तिला छैक।,He is very energetic.
हम अहाँ क' एकटा बात कहय चाहैत छी।,I want to tell you something.
हम स्कूल में निबंध लिखय रहल छी।,I am writing an essay in school.
ओ खेल में बहुत नीक अछि।,He is very good at sports.
हम किताब ल' क' लाइब्रेरी जाय रहल छी।,I am going to the library with a book.
हम अहाँ के मदद करय चाहैत छी।,I want to help you.
हम हमर दोस्त के फोन करय चाहैत छी।,I want to call my friend.
ओ बहुत बुद्धिमान छात्र अछि।,He is a very intelligent student.
हम अहाँ संग सिनेमा देखय जायत छी।,I will go to the cinema with you.
ओ अपन काज समाप्त क' चुकल अछि।,He has finished his work.
हम पढ़ाई में मन लगाबय चाहैत छी।,I want to focus on my studies.
हम नवा पुस्तक खरीदय चाहैत छी।,I want to buy a new book.
हम अहाँ क' बिना रहय नहि सकैत छी।,I cannot live without you.
हम अहाँ क' बहुत याद करैत छी।,I miss you a lot.
हम अहाँ संग समय बिताबय चाहैत छी।,I want to spend time with you.
हमरा यात्रा करय के शौक अछि।,I love traveling.
हम अहाँ क' नवा गीत सुनायब।,I will sing you a new song.
हम कतेक दिन स' अहाँ स' भेटय चाहैत छी।,I have wanted to meet you for many days.
हम अहाँ के शुभकामना दैत छी।,I wish you well.
हम अहाँ के आभार व्यक्त करैत छी।,I express my gratitude to you.
हम अहाँ के संग भोजन करय चाहैत छी।,I want to have a meal with you.
हम अहाँ संग पैदल चलय चाहैत छी।,I want to walk with you.
हम अहाँ के बारे में सोचय रहल छी।,I am thinking about you.
हम अहाँ संग यात्राक योजना बना रहल छी।,I am planning a trip with you.
हम हमर अध्ययन पर ध्यान द' रहल छी।,I am focusing on my studies.
हमरा मैथिली भाषा बहुत नीक लागैत अछि।,I like the Maithili language very much.
हम अहाँ क' कतेक दिन स' देखय चाहैत छी।,I have been wanting to see you for many days.
हम नया कौशल सिखय चाहैत छी।,I want to learn a new skill.
हम खेल में भाग लेब।,I will participate in the game.
हम हमर मातृभाषा गर्व महसूस करैत छी।,I feel proud of my mother tongue.
तोरा के देखलहुँ।,I saw you.
अहाँ कतेक सुन्दर गाबैत छी।,You sing so beautifully.
ओ सब काज समाप्त क' लेलक।,They finished all the work.
अहाँ हमरा भरोसा करैत छी?,Do you trust me?
ओ अपन घर चलि गेल।,He went home.
हम अहाँ क' फोन करब।,I will call you.
अहाँ हमरा संग किएक नहि एलहुँ?,Why didn’t you come with me?
ओ बहुत मेहनती अछि।,He is very hardworking.
हमरा अहाँ स' बात करय के जरूरत अछि।,I need to talk to you.
ओ बाजार सँ तरकारी किनलक।,He bought vegetables from the market.
अहाँ केँ हमरा बात सुनै के चाही।,You should listen to me.
हम चाय बना रहल छी।,I am making tea.
अहाँ के ई बात नहि बुझल?,Didn’t you understand this?
ओ हमरा घर अबैत अछि।,He comes to my house.
हम पढ़ाई समाप्त क' चुकल छी।,I have finished studying.
ओ बहादुर बच्चा अछि।,He is a brave child.
अहाँ संग समय बितायब मजेदार अछि।,Spending time with you is fun.
हम काल्हि यात्रा पर जायत छी।,I will go on a trip tomorrow.
अहाँ के ई पसंद अछि?,Do you like this?
ओ हँसि रहल अछि।,He is laughing.
हम गाना सुनि रहल छी।,I am listening to music.
अहाँ कत' जाय चाहैत छी?,Where do you want to go?
ओ हमरा मदद करय चाहैत अछि।,He wants to help me.
हम स्कूल स' आबि चुकल छी।,I have returned from school.
अहाँ हमर प्रिय मित्र छी।,You are my best friend.
ओ सिनेमा देखय गेल।,He went to watch a movie.
हम अपन काज करैत छी।,I do my work.
अहाँ हमर बात मानलहुँ।,You agreed with me.
ओ जल्दी अबि रहल अछि।,He is coming soon.
हम अहाँ के भेट क' खुश छी।,I am happy to meet you.
अहाँ के की कहय अछि?,What do you have to say?
ओ पढनाइ में तेज अछि।,He is sharp in studies.
हम अहाँ केँ एकटा कविता सुनायब।,I will recite a poem to you.
अहाँ के हमर सुझाव नीक लागल?,Did you like my suggestion?
हम घुमय चाहैत छी।,I want to go for a walk.
अहाँ के हमर फोटो पठाउ।,Send me your photo.
ओ हमसँ नाराज अछि।,He is angry with me.
हम अहाँ क' क्षमा चाहैत छी।,I apologize to you.
अहाँ बहुत नीक मनुष्य छी।,You are a very good person.
हम अहाँ स' कुछ विशेष कहय चाहैत छी।,I want to tell you something special.
ओ जल्दी सुतैत अछि।,He sleeps early.
अहाँ बहुत समय स' हमरे बारे में सोचैत छी?,Have you been thinking about me for a long time?
हम अहाँ के संग घुमय चाहैत छी।,I want to travel with you.
ओ हमर प्रिय शिक्षक छथि।,He is my favorite teacher.
अहाँ कोन किताब पढ़ि रहल छी?,Which book are you reading?
हम गाड़ी चला रहल छी।,I am driving a car.
अहाँ हमरा सँ रुसल छी?,Are you upset with me?
हम अहाँ के सन्देश पठेब।,I will send you a message.
