Maithili,English
तोर नाम की छौ?,What is your name?
हम अहाँ सँ भेटय चाहैत छी।,I want to meet you.
ओ पुस्तक पढ़ि रहल अछि।,He is reading a book.
आजु बहुत गरमी अछि।,It is very hot today.
अहाँ कतय जाय रहल छी?,Where are you going?
ओ जल्दी सुति गेल।,He slept early.
हम अहाँ क' संग जयब।,I will go with you.
हम स्कूल जा रहल छी।,I am going to school.
ओ भोजन बना रहल अछि।,He is cooking food.
कालि हम बजार गेल रही।,Yesterday I went to the market.
अहाँ कतेक बेर कहय छियै?,How many times have I told you?
हम अहाँ के सहयोग करब।,I will support you.
ओ बहुत सुन्दर चित्र बना रहल अछि।,He is drawing a beautiful picture.
हमरा टिभी देखय के इच्छा अछि।,I want to watch TV.
ओ बस पकड़य चाहैत अछि।,He wants to catch the bus.
अहाँ कतय रहैत छी?,Where do you live?
ओ हमर मित्र छी।,He is my friend.
हम किताब पढ़ि रहल छी।,I am reading a book.
हमरा अहाँ सँ किछु पूछय छल।,I wanted to ask you something.
ओ संगीत सुनि रहल अछि।,He is listening to music.
ओ खेल रहल अछि।,He is playing.
हम अहाँ सँ प्रेम करैत छी।,I love you.
ओ बहुत तेज दौड़ैत अछि।,He runs very fast.
ओ नया गीत गाबय चाहैत अछि।,He wants to sing a new song.
हमरा संग चलू।,Come with me.
ओ आइ स्कूल नहि गेल।,He did not go to school today.
ओ पढ़ाइ में तेज अछि।,He is good at studying.
हमरा भूख लागि रहल अछि।,I am feeling hungry.
ओ बस पकड़ि चुकल अछि।,He has already caught the bus.
हम अहाँ के धन्यवाद दैत छी।,I thank you.
हमरा नींद लागि रहल अछि।,I am feeling sleepy.
ओ अपना परिवार संग रहैत अछि।,He lives with his family.
हम अहाँ कतेक समय सँ बुझैत छी।,I have known you for a long time.
ओ अपन काज पूरा क' लेलक।,He completed his work.
अहाँ कतय जायत छी?,Where will you go?
ओ काज करय में व्यस्त अछि।,He is busy working.
हम अहाँ क' विश्वास करैत छी।,I trust you.
हम स्कूल स' अबि रहल छी।,I am coming from school.
हम अहाँ स' किछु पूछय चाहैत छी।,I want to ask you something.
ओ हमर संग खेलय चाहैत अछि।,He wants to play with me.
ओ बहुत फुर्तिला छैक।,He is very energetic.
हम अहाँ क' एकटा बात कहय चाहैत छी।,I want to tell you something.
हम स्कूल में निबंध लिखय रहल छी।,I am writing an essay in school.
ओ खेल में बहुत नीक अछि।,He is very good at sports.
हम किताब ल' क' लाइब्रेरी जाय रहल छी।,I am going to the library with a book.
हम अहाँ के मदद करय चाहैत छी।,I want to help you.
हम हमर दोस्त के फोन करय चाहैत छी।,I want to call my friend.
ओ बहुत बुद्धिमान छात्र अछि।,He is a very intelligent student.
हम अहाँ संग सिनेमा देखय जायत छी।,I will go to the cinema with you.
ओ अपन काज समाप्त क' चुकल अछि।,He has finished his work.
हम पढ़ाई में मन लगाबय चाहैत छी।,I want to focus on my studies.
हम नवा पुस्तक खरीदय चाहैत छी।,I want to buy a new book.
हम अहाँ क' बिना रहय नहि सकैत छी।,I cannot live without you.
हम अहाँ क' बहुत याद करैत छी।,I miss you a lot.
हम अहाँ संग समय बिताबय चाहैत छी।,I want to spend time with you.
हमरा यात्रा करय के शौक अछि।,I love traveling.
हम अहाँ क' नवा गीत सुनायब।,I will sing you a new song.
हम कतेक दिन स' अहाँ स' भेटय चाहैत छी।,I have wanted to meet you for many days.
हम अहाँ के शुभकामना दैत छी।,I wish you well.
हम अहाँ के आभार व्यक्त करैत छी।,I express my gratitude to you.
हम अहाँ के संग भोजन करय चाहैत छी।,I want to have a meal with you.
हम अहाँ संग पैदल चलय चाहैत छी।,I want to walk with you.
हम अहाँ के बारे में सोचय रहल छी।,I am thinking about you.
हम अहाँ संग यात्राक योजना बना रहल छी।,I am planning a trip with you.
हम हमर अध्ययन पर ध्यान द' रहल छी।,I am focusing on my studies.
हमरा मैथिली भाषा बहुत नीक लागैत अछि।,I like the Maithili language very much.
हम अहाँ क' कतेक दिन स' देखय चाहैत छी।,I have been wanting to see you for many days.
हम नया कौशल सिखय चाहैत छी।,I want to learn a new skill.
हम खेल में भाग लेब।,I will participate in the game.
हम हमर मातृभाषा स' गर्व महसूस करैत छी।,I feel proud of my mother tongue.
